科目名,単位,教員,前期/後期,曜日,時間,必修
仏教学1A,2,,前期,,,必修
仏教学2B,2,,後期,,,必修
英語ⅠA1,1,,前期,,,必修
英語ⅠA2,1,,前期,,,必修
英語ⅠB１,1,,後期,,,必修
英語ⅠB2,1,,後期,,,必修
コリア語ⅠA1,1,,前期,,,必修
コリア語ⅠA2,1,,前期,,,必修
コリア語ⅠB1,1,,後期,,,必修
コリア語ⅠB2,1,,後期,,,必修
情報リテラシー基礎,2,,前期,,,必修
情報リテラシー応用,2,,後期,,,必修ではない
運動と健康科学,2,,後期,,,必修
現代社会入門Ⅰ,2,,前期,,,必修
現代社会入門Ⅱ,2,,前期,,,必修
ジェンダーと現代社会,2,,後期,,,必修
プログラミング入門,2,,後期,,,必修
情報学アプローチ,2,,前期,,,必修
経済学アプローチ,2,,前期,,,必修ではない
社会学アプローチ,2,,前期,,,必修ではない
経営学アプローチ,2,,後期,,,必修ではない
環境学アプローチ,2,,後期,,,必修ではない
社会データ処理基礎,2,,後期,,,必修ではない
キャリア開発Ⅰ,2,,前期,,,必修ではない
基礎演習Ⅰ,2,,前期,,,必修
基礎演習Ⅱ,2,,後期,,,必修
情報数学,2,宮下　健輔,前期,火,3,必修ではない
倫理学,2,江口 聡,前期,金,4,必修ではない
福祉と家族,2,神原　知香,前期,水,2,必修ではない
マイノリティと法,2,澤　敬子,前期,木,4,必修ではない
